TranDate,Sum of Amount
02/01/2022,3.24
02/01/2022,0.7
02/01/2022,553.19
02/01/2022,6.07
02/01/2022,0.37
02/01/2022,664.01
02/01/2022,129.96
02/01/2022,144.4
02/01/2022,20.66
02/01/2022,67.42
02/01/2022,219.63
02/01/2022,0.8
02/01/2022,37.72
02/01/2022,8.49
02/01/2022,694.3
02/01/2022,6.56
02/01/2022,"1,846.72"
02/01/2022,55.19
02/01/2022,1.76
02/01/2022,"1,556.29"
02/01/2022,0.32
02/01/2022,27.74
02/01/2022,66.34
02/01/2022,22.71
02/01/2022,87.63
02/01/2022,12.31
02/01/2022,17.31
02/01/2022,1.64
02/01/2022,14.93
02/01/2022,"1,146.88"
02/01/2022,1.01
02/01/2022,37.72
02/01/2022,95.58
02/01/2022,80
02/01/2022,13.25
02/01/2022,2.07
02/01/2022,6.75
02/01/2022,388.23
02/01/2022,8.32
02/01/2022,0.21
02/01/2022,83.85
02/01/2022,698.58
02/01/2022,"1,201.66"
02/01/2022,0.23
02/01/2022,35.08
02/01/2022,867.82
02/01/2022,4.56
02/01/2022,93.75
02/01/2022,6.21
02/01/2022,336.68
02/01/2022,18.23
03/01/2022,65.22
03/01/2022,8.74
03/01/2022,460.75
03/01/2022,12.56
03/01/2022,14.14
03/01/2022,32.12
03/01/2022,4.48
03/01/2022,101.63
03/01/2022,12.77
03/01/2022,520.98
03/01/2022,0.21
03/01/2022,13.12
03/01/2022,6.7
03/01/2022,25.39
03/01/2022,44.55
03/01/2022,22.71
03/01/2022,16.79
03/01/2022,25.24
03/01/2022,163.56
03/01/2022,39.81
03/01/2022,14.19
03/01/2022,129.54
03/01/2022,0.74
03/01/2022,383.05
03/01/2022,465.98
03/01/2022,41.91
03/01/2022,363.65
03/01/2022,0.5
03/01/2022,1.66
03/01/2022,362.89
03/01/2022,515.03
03/01/2022,178.56
03/01/2022,0.7
03/01/2022,485.85
03/01/2022,42.09
03/01/2022,890.01
03/01/2022,14.81
03/01/2022,15.71
03/01/2022,6.21
03/01/2022,14.77
03/01/2022,722.22
03/01/2022,144.08
03/01/2022,16.5
03/01/2022,22.78
03/01/2022,7.73
03/01/2022,14.24
03/01/2022,47.34
03/01/2022,15.27
03/01/2022,98.95
03/01/2022,11.75
03/01/2022,1.47
04/01/2022,14.93
04/01/2022,5.12
04/01/2022,11.16
04/01/2022,1.47
04/01/2022,59.34
04/01/2022,14.98
04/01/2022,31.17
04/01/2022,31.17
04/01/2022,342.89
04/01/2022,37.03
04/01/2022,6.93
04/01/2022,89.64
04/01/2022,43.18
04/01/2022,76
04/01/2022,44.85
04/01/2022,12.4
04/01/2022,0.8
04/01/2022,6.56
04/01/2022,6.74
04/01/2022,6.21
04/01/2022,0.23
04/01/2022,45.8
04/01/2022,1.48
04/01/2022,362.89
04/01/2022,49.83
04/01/2022,0.46
04/01/2022,26.78
04/01/2022,30.16
04/01/2022,0.21
04/01/2022,240.37
04/01/2022,40.53
04/01/2022,94.62
04/01/2022,6.08
