TranDate,Sum of Amount
04/01/2022,6.41
04/01/2022,299.07
04/01/2022,0.67
04/01/2022,42.54
04/01/2022,44.31
04/01/2022,40.68
04/01/2022,617.9
04/01/2022,19.24
04/01/2022,542.14
04/01/2022,64.2
04/01/2022,19.62
04/01/2022,1.79
05/01/2022,148.41
05/01/2022,1.47
05/01/2022,17.13
05/01/2022,515.03
05/01/2022,47.96
05/01/2022,10.94
05/01/2022,7.31
05/01/2022,0.94
05/01/2022,188.48
05/01/2022,10.94
05/01/2022,0.5
05/01/2022,100.69
05/01/2022,40.41
05/01/2022,1.96
05/01/2022,362.89
05/01/2022,6.93
05/01/2022,537.51
05/01/2022,4.56
05/01/2022,126.16
05/01/2022,46.77
05/01/2022,27.38
05/01/2022,53.08
05/01/2022,0.39
05/01/2022,6.75
05/01/2022,7.9
05/01/2022,157.32
05/01/2022,0.22
05/01/2022,8.32
05/01/2022,0.77
05/01/2022,0.35
05/01/2022,73.59
05/01/2022,0.66
05/01/2022,13.95
05/01/2022,10.15
05/01/2022,4.56
05/01/2022,42.03
05/01/2022,5.58
05/01/2022,14.62
05/01/2022,0.47
05/01/2022,29.53
05/01/2022,279.13
05/01/2022,81.34
05/01/2022,7.32
05/01/2022,32.81
05/01/2022,41.86
06/01/2022,254.19
06/01/2022,136.35
06/01/2022,7.48
06/01/2022,4.76
06/01/2022,8.13
06/01/2022,178.56
06/01/2022,22.71
06/01/2022,1.47
06/01/2022,123.29
06/01/2022,93.75
06/01/2022,515.03
06/01/2022,5.06
06/01/2022,215.82
06/01/2022,14.81
06/01/2022,"1,210.59"
06/01/2022,131.5
06/01/2022,256.75
06/01/2022,0.81
06/01/2022,61.96
06/01/2022,510.63
06/01/2022,82.68
06/01/2022,8.36
06/01/2022,13.48
06/01/2022,"6,095.03"
06/01/2022,48.52
06/01/2022,22.71
06/01/2022,124.58
06/01/2022,32.81
06/01/2022,494.84
06/01/2022,156.66
06/01/2022,20.52
06/01/2022,1.97
06/01/2022,7.67
06/01/2022,6.08
06/01/2022,2.02
06/01/2022,61.32
06/01/2022,39.88
06/01/2022,145.41
06/01/2022,5.66
06/01/2022,41.12
06/01/2022,122.72
06/01/2022,888.1
06/01/2022,6.24
06/01/2022,29.75
06/01/2022,11.08
07/01/2022,524.07
07/01/2022,483.85
07/01/2022,169.8
07/01/2022,15.27
07/01/2022,8.78
07/01/2022,15.9
07/01/2022,487.93
07/01/2022,48.17
07/01/2022,195.48
07/01/2022,96.28
07/01/2022,12.79
07/01/2022,142.97
07/01/2022,487.93
07/01/2022,10.94
07/01/2022,49.83
07/01/2022,185.19
07/01/2022,0.6
07/01/2022,231.84
07/01/2022,6.08
07/01/2022,25.24
07/01/2022,43.74
07/01/2022,750.65
07/01/2022,4.76
07/01/2022,0.94
07/01/2022,0.5
07/01/2022,1.04
07/01/2022,6.59
07/01/2022,11.08
07/01/2022,7.48
07/01/2022,3.24
07/01/2022,13.38
07/01/2022,"1,186.41"
07/01/2022,59.8
07/01/2022,"2,647.13"
07/01/2022,11.08
07/01/2022,21.49
07/01/2022,39.88
07/01/2022,72
07/01/2022,28.27
07/01/2022,9.84
07/01/2022,104.16
07/01/2022,0.5
07/01/2022,0.73
07/01/2022,362.89
07/01/2022,15.19
08/01/2022,9.26
08/01/2022,22.71
08/01/2022,4.03
08/01/2022,6.7
08/01/2022,178.56
08/01/2022,539.34
08/01/2022,5.03
08/01/2022,55.19
08/01/2022,45.01
08/01/2022,34.35
08/01/2022,0.49
08/01/2022,3.18
08/01/2022,551.05
08/01/2022,385.01
08/01/2022,35.02
08/01/2022,26.51
08/01/2022,46.22
08/01/2022,822.14
08/01/2022,93.75
08/01/2022,5.7
08/01/2022,47.28
08/01/2022,355.54
08/01/2022,7.67
08/01/2022,5.43
08/01/2022,4.22
08/01/2022,2.22
08/01/2022,0.54
08/01/2022,15.63
08/01/2022,45.56
08/01/2022,1.03
08/01/2022,3.35
08/01/2022,98.95
08/01/2022,2.84
08/01/2022,0.7
08/01/2022,566.26
08/01/2022,"1,342.27"
08/01/2022,2.76
08/01/2022,93.75
08/01/2022,6.67
08/01/2022,6.58
08/01/2022,16.88
08/01/2022,3.01
08/01/2022,96.52
08/01/2022,15.63
08/01/2022,61.32
08/01/2022,497.16
08/01/2022,157.5
08/01/2022,6.53
08/01/2022,16.5
08/01/2022,0.34
08/01/2022,7.24
08/01/2022,19.49
08/01/2022,35.08
08/01/2022,674.54
08/01/2022,0.78
08/01/2022,2.55
08/01/2022,0.44
08/01/2022,1.64
08/01/2022,35.08
08/01/2022,0.89
08/01/2022,11.7
08/01/2022,1.53
08/01/2022,11.08
08/01/2022,38.28
08/01/2022,0.35
08/01/2022,34.72
08/01/2022,389.77
08/01/2022,231.6
08/01/2022,163.79
08/01/2022,294.64
08/01/2022,52.53
08/01/2022,13.98
08/01/2022,46.09
08/01/2022,0.36
08/01/2022,220.02
08/01/2022,1.56
08/01/2022,1.08
08/01/2022,0.28
08/01/2022,0.35
08/01/2022,42.54
08/01/2022,104.16
08/01/2022,304.12
08/01/2022,26.68
08/01/2022,33.51
08/01/2022,31.96
08/01/2022,2.41
08/01/2022,18.63
08/01/2022,0.33
08/01/2022,0.89
08/01/2022,65.22
08/01/2022,0.73
08/01/2022,138.42
08/01/2022,11.7
08/01/2022,117.64
08/01/2022,47.34
08/01/2022,43.67
08/01/2022,37.72
08/01/2022,301.09
08/01/2022,44.36
08/01/2022,11.14
08/01/2022,72.95
08/01/2022,89.29
08/01/2022,544.03
08/01/2022,8.78
08/01/2022,124.47
08/01/2022,89.64
08/01/2022,559.45
08/01/2022,843.7
08/01/2022,23.97
08/01/2022,1.86
08/01/2022,31.17
08/01/2022,23.73
08/01/2022,129.86
08/01/2022,12.56
08/01/2022,0.77
08/01/2022,12.56
08/01/2022,178.56
08/01/2022,0.29
08/01/2022,0.22
08/01/2022,113.62
08/01/2022,5.29
08/01/2022,44.85
08/01/2022,700.58
08/01/2022,0.35
08/01/2022,7.07
08/01/2022,19.24
08/01/2022,10.38
08/01/2022,178.56
08/01/2022,55.19
08/01/2022,49.83
08/01/2022,14.87
08/01/2022,0.99
08/01/2022,7.9
08/01/2022,11.9
08/01/2022,178.56
08/01/2022,44.31
08/01/2022,198.4
08/01/2022,0.21
08/01/2022,0.77
08/01/2022,14.14
08/01/2022,41.55
08/01/2022,77
08/01/2022,283.8
08/01/2022,35.7
08/01/2022,37.68
08/01/2022,2.87
08/01/2022,40.41
08/01/2022,49.37
08/01/2022,39.88
08/01/2022,0.35
08/01/2022,4.56
08/01/2022,13.85
08/01/2022,5.59
08/01/2022,81.76
08/01/2022,7.31
08/01/2022,42.27
08/01/2022,6.58
08/01/2022,195.12
08/01/2022,15.27
08/01/2022,0.32
08/01/2022,4.44
08/01/2022,41.91
08/01/2022,7.31
08/01/2022,1.47
08/01/2022,10.68
08/01/2022,1.04
08/01/2022,170.64
08/01/2022,16.49
08/01/2022,0.35
08/01/2022,6.18
08/01/2022,18.12
08/01/2022,0.75
08/01/2022,11.34
08/01/2022,24.39
08/01/2022,8.55
08/01/2022,59.28
08/01/2022,58.69
08/01/2022,0.89
08/01/2022,5.75
08/01/2022,1.47
08/01/2022,6.86
08/01/2022,51.04
08/01/2022,5.75
08/01/2022,301.69
08/01/2022,5.4
08/01/2022,151.44
08/01/2022,98.95
08/01/2022,40.41
08/01/2022,47.34
08/01/2022,14.14
08/01/2022,5.03
08/01/2022,16.06
08/01/2022,12.56
09/01/2022,152.82
09/01/2022,26.78
09/01/2022,6.08
09/01/2022,136.7
09/01/2022,16.12
09/01/2022,12.56
09/01/2022,4.19
09/01/2022,6.39
09/01/2022,72.83
09/01/2022,826.58
09/01/2022,109.56
09/01/2022,510.73
09/01/2022,3.6
09/01/2022,14.93
09/01/2022,22.71
09/01/2022,0.5
09/01/2022,58.69
09/01/2022,6.41
09/01/2022,274.32
09/01/2022,100.8
09/01/2022,288.75
09/01/2022,12.31
09/01/2022,358.84
09/01/2022,590.53
09/01/2022,38.98
09/01/2022,4.46
09/01/2022,389.77
09/01/2022,15.39
09/01/2022,0.21
09/01/2022,"1,102.10"
09/01/2022,44.85
09/01/2022,286.04
09/01/2022,55.19
09/01/2022,362.89
09/01/2022,15.63
09/01/2022,146.08
09/01/2022,232.57
09/01/2022,339.96
09/01/2022,0.53
09/01/2022,15.09
09/01/2022,3.64
09/01/2022,0.57
09/01/2022,383.05
09/01/2022,12.31
09/01/2022,6.58
10/01/2022,9.84
10/01/2022,1.86
10/01/2022,14.81
10/01/2022,3
10/01/2022,43.16
10/01/2022,6.39
10/01/2022,0.43
10/01/2022,153.74
10/01/2022,14.81
10/01/2022,84.55
10/01/2022,244.03
10/01/2022,291.63
10/01/2022,310.22
10/01/2022,346.51
10/01/2022,75.28
10/01/2022,15.39
10/01/2022,6.41
10/01/2022,259.88
10/01/2022,6.9
10/01/2022,"1,700.31"
10/01/2022,338.13
10/01/2022,20.7
10/01/2022,58.69
10/01/2022,69.14
10/01/2022,92.49
10/01/2022,13.95
10/01/2022,100.69
10/01/2022,52.11
10/01/2022,42.09
10/01/2022,6.08
10/01/2022,"1,725.72"
10/01/2022,6.08
10/01/2022,487.93
10/01/2022,6.07
10/01/2022,27.66
10/01/2022,0.81
10/01/2022,441.42
10/01/2022,362.89
10/01/2022,14.14
10/01/2022,26.78
10/01/2022,236.8
10/01/2022,6.24
10/01/2022,35.08
10/01/2022,"1,111.39"
10/01/2022,6.24
11/01/2022,104.7
11/01/2022,"6,059.07"
11/01/2022,38.28
11/01/2022,145.65
11/01/2022,38.98
11/01/2022,63.12
11/01/2022,42.54
11/01/2022,799.29
11/01/2022,27.82
11/01/2022,6.82
11/01/2022,0.7
11/01/2022,0.82
11/01/2022,0.77
11/01/2022,7.41
11/01/2022,0.8
11/01/2022,1.97
11/01/2022,0.99
11/01/2022,5.06
11/01/2022,403.21
11/01/2022,23.97
11/01/2022,19.24
11/01/2022,6.93
11/01/2022,16.45
11/01/2022,59.14
11/01/2022,0.21
11/01/2022,188.48
11/01/2022,144.9
11/01/2022,"1,581.89"
11/01/2022,0.35
11/01/2022,198.09
11/01/2022,4.26
11/01/2022,16.12
11/01/2022,4.02
11/01/2022,694.49
11/01/2022,33.47
11/01/2022,5.75
11/01/2022,5.03
11/01/2022,42.98
11/01/2022,16.53
11/01/2022,35.7
11/01/2022,78.35
11/01/2022,354.4
11/01/2022,20.25
11/01/2022,35.08
11/01/2022,0.42
12/01/2022,13.85
12/01/2022,324.52
12/01/2022,16.45
12/01/2022,16.97
12/01/2022,7.58
12/01/2022,6.59
12/01/2022,5.44
12/01/2022,293.17
12/01/2022,368.82
12/01/2022,18.23
12/01/2022,13.85
12/01/2022,2.21
12/01/2022,0.23
12/01/2022,85.92
12/01/2022,16.4
12/01/2022,2.01
12/01/2022,9
12/01/2022,320.33
12/01/2022,225.08
12/01/2022,0.99
12/01/2022,20.25
12/01/2022,520.86
12/01/2022,15.63
12/01/2022,15.19
12/01/2022,82.61
12/01/2022,6.56
12/01/2022,55.19
12/01/2022,55.88
12/01/2022,639.03
12/01/2022,297.36
12/01/2022,543.94
12/01/2022,1.56
12/01/2022,0.94
12/01/2022,39.81
12/01/2022,30.36
12/01/2022,233.11
12/01/2022,16.11
12/01/2022,38.28
12/01/2022,0.79
12/01/2022,37.72
12/01/2022,0.74
12/01/2022,61.18
12/01/2022,7.48
12/01/2022,46.89
12/01/2022,0.77
13/01/2022,86.87
13/01/2022,19.74
13/01/2022,271.42
13/01/2022,10.85
13/01/2022,39.81
13/01/2022,49.37
13/01/2022,214.53
13/01/2022,0.35
13/01/2022,0.77
13/01/2022,0.39
13/01/2022,403.21
13/01/2022,0.93
13/01/2022,130.71
13/01/2022,15.31
13/01/2022,35.08
13/01/2022,89.64
13/01/2022,596.54
13/01/2022,4.76
13/01/2022,578.74
13/01/2022,5.03
13/01/2022,238.08
13/01/2022,0.25
13/01/2022,231.83
13/01/2022,62.57
13/01/2022,8.52
13/01/2022,733.07
13/01/2022,37.72
13/01/2022,50.29
13/01/2022,549.8
13/01/2022,"1,274.31"
13/01/2022,1.96
13/01/2022,86.96
13/01/2022,6.35
13/01/2022,198
13/01/2022,0.8
13/01/2022,15.27
13/01/2022,106.28
13/01/2022,0.99
13/01/2022,219.36
13/01/2022,19.9
13/01/2022,6.71
13/01/2022,26.28
13/01/2022,67.84
13/01/2022,0.7
13/01/2022,27
14/01/2022,32.81
14/01/2022,15.71
14/01/2022,5.03
14/01/2022,20.36
14/01/2022,19.58
14/01/2022,4.81
14/01/2022,60.82
14/01/2022,1.13
14/01/2022,0.94
14/01/2022,520.86
14/01/2022,78.53
14/01/2022,0.5
14/01/2022,35.08
14/01/2022,18.23
14/01/2022,65.94
14/01/2022,0.94
14/01/2022,8.49
14/01/2022,1.86
14/01/2022,1.56
14/01/2022,31.71
14/01/2022,569.3
14/01/2022,24.39
14/01/2022,18.86
14/01/2022,88.26
14/01/2022,0.42
14/01/2022,0.94
14/01/2022,15.39
14/01/2022,0.74
14/01/2022,978.8
14/01/2022,28.27
14/01/2022,18.23
14/01/2022,32.81
14/01/2022,90.72
14/01/2022,6.9
14/01/2022,26.78
14/01/2022,0.21
14/01/2022,0.7
14/01/2022,549.8
14/01/2022,42.2
14/01/2022,6.21
14/01/2022,954.03
14/01/2022,44.85
14/01/2022,0.32
14/01/2022,233.01
14/01/2022,383.05
15/01/2022,9.84
15/01/2022,213.1
15/01/2022,39.88
15/01/2022,94.62
15/01/2022,1.56
15/01/2022,27.1
15/01/2022,5.75
15/01/2022,0.8
15/01/2022,6.58
15/01/2022,537.61
15/01/2022,38.28
15/01/2022,59.28
15/01/2022,189.76
15/01/2022,3.42
15/01/2022,362.89
15/01/2022,31.83
15/01/2022,41.91
15/01/2022,6.21
15/01/2022,73.59
15/01/2022,44.18
15/01/2022,0.81
15/01/2022,7.9
15/01/2022,14.81
15/01/2022,2.11
15/01/2022,308.6
15/01/2022,112.48
15/01/2022,4.76
15/01/2022,198.4
15/01/2022,258.9
15/01/2022,93.17
15/01/2022,55.19
15/01/2022,14.62
15/01/2022,487.93
15/01/2022,99.6
15/01/2022,69
15/01/2022,7.48
15/01/2022,259.88
15/01/2022,5.03
15/01/2022,140.85
15/01/2022,104.16
15/01/2022,119.52
15/01/2022,8.32
15/01/2022,"2,807.10"
15/01/2022,0.71
15/01/2022,3.01
15/01/2022,2.95
15/01/2022,8.8
15/01/2022,49.83
15/01/2022,487.93
15/01/2022,13.22
15/01/2022,60.79
15/01/2022,20.25
15/01/2022,184.12
15/01/2022,15.78
15/01/2022,20.84
15/01/2022,104.16
15/01/2022,7.07
15/01/2022,9.84
15/01/2022,6.41
15/01/2022,58.69
15/01/2022,185.23
15/01/2022,0.7
15/01/2022,16.03
15/01/2022,21.03
15/01/2022,38.68
15/01/2022,16.97
15/01/2022,7.92
15/01/2022,0.8
15/01/2022,28.76
15/01/2022,8.1
15/01/2022,0.35
15/01/2022,55.19
15/01/2022,119.93
15/01/2022,231.93
15/01/2022,0.56
15/01/2022,166.25
15/01/2022,383.05
15/01/2022,93.75
15/01/2022,11.97
15/01/2022,363.2
15/01/2022,56.81
15/01/2022,6.24
15/01/2022,355.92
15/01/2022,433.07
15/01/2022,21.75
15/01/2022,124.17
15/01/2022,6.24
15/01/2022,13.85
15/01/2022,6.56
15/01/2022,202.45
15/01/2022,5.03
15/01/2022,14.77
15/01/2022,138.92
15/01/2022,18.23
15/01/2022,12.31
15/01/2022,277.05
15/01/2022,38.28
15/01/2022,44.31
15/01/2022,3.16
15/01/2022,403.21
15/01/2022,0.8
15/01/2022,838.76
15/01/2022,0.37
15/01/2022,423.28
15/01/2022,13.49
15/01/2022,2.13
15/01/2022,13.86
15/01/2022,5.75
15/01/2022,4
15/01/2022,15.71
15/01/2022,44.61
15/01/2022,148.41
15/01/2022,493.56
15/01/2022,5.06
15/01/2022,6.67
15/01/2022,96.28
15/01/2022,0.21
15/01/2022,29.53
15/01/2022,1.64
15/01/2022,14.81
15/01/2022,1.25
15/01/2022,0.23
15/01/2022,42.09
15/01/2022,9.84
15/01/2022,7.2
15/01/2022,153.56
15/01/2022,0.23
15/01/2022,0.7
15/01/2022,137.28
15/01/2022,264.54
15/01/2022,51.04
15/01/2022,330.17
15/01/2022,16.97
15/01/2022,6.9
15/01/2022,30.37
15/01/2022,37.03
15/01/2022,130.87
15/01/2022,"1,071.16"
15/01/2022,1.25
15/01/2022,39.77
15/01/2022,6.08
15/01/2022,5.03
15/01/2022,0.38
15/01/2022,0.85
15/01/2022,12.56
15/01/2022,10.57
15/01/2022,0.52
15/01/2022,245.95
15/01/2022,40.51
15/01/2022,32.58
15/01/2022,18.22
15/01/2022,11.7
15/01/2022,549.8
15/01/2022,2
15/01/2022,15.27
15/01/2022,0.8
15/01/2022,28.27
15/01/2022,5.75
15/01/2022,"4,705.41"
15/01/2022,5.17
15/01/2022,18.22
15/01/2022,22.62
15/01/2022,5.59
15/01/2022,2.24
15/01/2022,58.69
15/01/2022,163.49
15/01/2022,3.18
15/01/2022,13.25
15/01/2022,14.87
15/01/2022,44.85
15/01/2022,25.75
15/01/2022,508.55
15/01/2022,424.2
15/01/2022,14.22
15/01/2022,6.56
15/01/2022,18.23
15/01/2022,61.96
15/01/2022,40.41
15/01/2022,0.73
16/01/2022,9.43
16/01/2022,0.8
16/01/2022,"1,182.63"
16/01/2022,6.24
16/01/2022,6.7
16/01/2022,125
16/01/2022,227.18
16/01/2022,0.89
16/01/2022,5.06
16/01/2022,178.26
16/01/2022,92.41
16/01/2022,208.44
16/01/2022,1.07
16/01/2022,29.53
16/01/2022,30.4
16/01/2022,"1,956.52"
16/01/2022,31.45
16/01/2022,5.68
16/01/2022,383.05
16/01/2022,89
16/01/2022,99.6
16/01/2022,58.26
16/01/2022,542.14
16/01/2022,621.61
16/01/2022,0.4
16/01/2022,6.41
16/01/2022,12.6
16/01/2022,81.04
16/01/2022,13.95
16/01/2022,20.25
16/01/2022,44.85
16/01/2022,29.53
16/01/2022,1.97
16/01/2022,1.86
16/01/2022,16.42
16/01/2022,0.73
16/01/2022,95.76
16/01/2022,29.32
16/01/2022,13.51
16/01/2022,4.24
16/01/2022,376.25
16/01/2022,487.93
16/01/2022,722.86
16/01/2022,7.04
16/01/2022,15.27
17/01/2022,165.6
17/01/2022,10.03
17/01/2022,42.73
17/01/2022,5.31
17/01/2022,6.08
17/01/2022,6.21
17/01/2022,3.01
17/01/2022,26.78
17/01/2022,13.78
17/01/2022,778.43
17/01/2022,276.68
17/01/2022,"1,075.46"
17/01/2022,2.13
17/01/2022,5.03
17/01/2022,50.85
17/01/2022,25.3
17/01/2022,61.32
17/01/2022,383.85
17/01/2022,487.93
17/01/2022,262.47
17/01/2022,42.83
17/01/2022,14.62
17/01/2022,14.46
17/01/2022,0.39
17/01/2022,13.85
17/01/2022,739.5
17/01/2022,3.18
17/01/2022,29.53
17/01/2022,11.08
17/01/2022,4.89
17/01/2022,6.07
17/01/2022,4.81
17/01/2022,259.88
17/01/2022,14.58
17/01/2022,483.85
17/01/2022,6.41
17/01/2022,9.24
17/01/2022,3.01
17/01/2022,67.58
17/01/2022,0.5
17/01/2022,404.05
17/01/2022,178.56
17/01/2022,6.47
17/01/2022,6.75
17/01/2022,0.32
18/01/2022,248.52
18/01/2022,"1,852.99"
18/01/2022,133.69
18/01/2022,137.08
18/01/2022,1.12
18/01/2022,15.63
18/01/2022,7.45
18/01/2022,21.36
18/01/2022,310.14
18/01/2022,"1,491.41"
18/01/2022,15.27
18/01/2022,18.63
18/01/2022,0.99
18/01/2022,274.32
18/01/2022,9.94
18/01/2022,61.32
18/01/2022,99.6
18/01/2022,1.97
18/01/2022,137.18
18/01/2022,17.21
18/01/2022,11.09
18/01/2022,0.32
18/01/2022,63.04
18/01/2022,1.45
18/01/2022,8.32
18/01/2022,995.3
18/01/2022,1.64
18/01/2022,347.34
18/01/2022,13.25
18/01/2022,0.56
18/01/2022,5.59
18/01/2022,127.15
18/01/2022,0.22
18/01/2022,37.68
18/01/2022,3.01
18/01/2022,10.39
18/01/2022,1.86
18/01/2022,17.53
18/01/2022,0.28
18/01/2022,6.59
18/01/2022,9.98
18/01/2022,53.17
18/01/2022,487.93
18/01/2022,198.4
18/01/2022,0.89
19/01/2022,39.33
19/01/2022,5.75
19/01/2022,5.29
19/01/2022,2.07
19/01/2022,15.7
19/01/2022,162.49
19/01/2022,7.48
19/01/2022,253.02
19/01/2022,28.27
19/01/2022,42.83
19/01/2022,16.74
19/01/2022,213.83
19/01/2022,114.55
19/01/2022,23.97
19/01/2022,16.12
19/01/2022,144.29
19/01/2022,41.6
19/01/2022,42.54
19/01/2022,1.61
19/01/2022,"6,201.52"
19/01/2022,56.12
19/01/2022,198.4
19/01/2022,3.01
19/01/2022,1.7
19/01/2022,6.39
19/01/2022,38.28
19/01/2022,4.76
19/01/2022,1.67
19/01/2022,58.26
19/01/2022,825.89
19/01/2022,1.94
19/01/2022,19.99
19/01/2022,318.96
19/01/2022,4.86
19/01/2022,18.23
19/01/2022,25.24
19/01/2022,15.93
19/01/2022,52.82
19/01/2022,3.01
19/01/2022,252.33
19/01/2022,7.31
19/01/2022,44.31
19/01/2022,61.96
19/01/2022,559.45
19/01/2022,0.85
20/01/2022,10.39
20/01/2022,87.05
20/01/2022,13.94
20/01/2022,1.49
20/01/2022,14.62
20/01/2022,728.74
20/01/2022,5.31
20/01/2022,6.59
20/01/2022,0.33
20/01/2022,6.21
20/01/2022,153.57
20/01/2022,6.08
20/01/2022,29.53
20/01/2022,65.22
20/01/2022,24.3
20/01/2022,46.7
20/01/2022,18.86
20/01/2022,710.04
20/01/2022,578.74
20/01/2022,259.88
20/01/2022,0.54
20/01/2022,44.85
20/01/2022,0.31
20/01/2022,357.24
20/01/2022,30.51
20/01/2022,276.64
20/01/2022,1.92
20/01/2022,578.74
20/01/2022,29.75
20/01/2022,38.96
20/01/2022,13.76
20/01/2022,110.96
20/01/2022,4.89
20/01/2022,58.26
20/01/2022,31.71
20/01/2022,2.07
20/01/2022,19.58
20/01/2022,483.76
20/01/2022,132
20/01/2022,29.53
20/01/2022,288.75
20/01/2022,0.85
20/01/2022,1.32
20/01/2022,178.56
20/01/2022,9.75
21/01/2022,542.14
21/01/2022,0.75
21/01/2022,6.58
21/01/2022,188.48
21/01/2022,99.6
21/01/2022,9.2
21/01/2022,5.03
21/01/2022,274.32
21/01/2022,6.24
21/01/2022,22.71
21/01/2022,23.44
21/01/2022,259.88
21/01/2022,35.68
21/01/2022,58.69
21/01/2022,411.42
21/01/2022,5.31
21/01/2022,38.28
21/01/2022,13.85
21/01/2022,126.24
21/01/2022,141.94
21/01/2022,32.81
21/01/2022,83.21
21/01/2022,89.64
21/01/2022,55.6
21/01/2022,377.73
21/01/2022,6
21/01/2022,653.05
21/01/2022,13.84
21/01/2022,18.6
21/01/2022,106.97
21/01/2022,287.22
21/01/2022,5.29
21/01/2022,9.84
21/01/2022,10.39
21/01/2022,2.62
21/01/2022,188.48
21/01/2022,0.35
21/01/2022,35.56
21/01/2022,86.24
21/01/2022,0.32
21/01/2022,0.53
21/01/2022,57.96
21/01/2022,0.77
21/01/2022,27.82
21/01/2022,162.1
22/01/2022,520.86
22/01/2022,14.14
22/01/2022,520.86
22/01/2022,220.84
22/01/2022,124.22
22/01/2022,1.56
22/01/2022,98.95
22/01/2022,15.6
22/01/2022,33.1
22/01/2022,119.52
22/01/2022,5.03
22/01/2022,7.81
22/01/2022,61.96
22/01/2022,141.27
22/01/2022,5.06
22/01/2022,97.15
22/01/2022,35.08
22/01/2022,40.51
22/01/2022,8.28
22/01/2022,61.96
22/01/2022,0.8
22/01/2022,37.72
22/01/2022,0.35
22/01/2022,26.36
22/01/2022,6.71
22/01/2022,53.17
22/01/2022,5.31
22/01/2022,0.21
22/01/2022,6.95
22/01/2022,3.35
22/01/2022,1.06
22/01/2022,0.94
22/01/2022,9.84
22/01/2022,25.31
22/01/2022,771.65
22/01/2022,14.93
22/01/2022,134.21
22/01/2022,59.08
22/01/2022,520.86
22/01/2022,39.67
22/01/2022,46.77
22/01/2022,66.44
22/01/2022,8.32
22/01/2022,111.88
22/01/2022,93.75
22/01/2022,7.25
22/01/2022,127.16
22/01/2022,9.84
22/01/2022,161.31
22/01/2022,"1,531.73"
22/01/2022,0.81
22/01/2022,20.95
22/01/2022,128.68
22/01/2022,42.09
22/01/2022,4.25
22/01/2022,549.8
22/01/2022,265.61
22/01/2022,58.26
22/01/2022,0.39
22/01/2022,2.48
22/01/2022,0.5
22/01/2022,11.08
22/01/2022,93.75
22/01/2022,15.27
22/01/2022,104.16
22/01/2022,10.04
22/01/2022,51.97
22/01/2022,0.78
22/01/2022,7.06
